req_id,domain,requirement,source,spec,wp,dod_test,status
REQ-174,AGENTS,Concierge auto-reply path must set the inbound SLA timer (messages.sla_due_ts) BEFORE its appends so a partial-append death (quote.requested committed but message.sent not — redelivery short-circuits to already_handled) is backstopped by the T8 overdue sweep and surfaced as an internal overdue note rather than a silent lost reply; closes the auto-reply half of the partial-append window (the queued half already sets the timer),WP-07 exit audit (REQ-119),02§6,WP-07,A quote.requested committed with no answering message.sent whose inbound SLA is past is flagged overdue by the sweep,WP07-DISCOVERED
REQ-175,AGENTS,Concierge C1 corroboration must fail CLOSED on dims-presence exactly as it does on weight: a model request carrying dims the deterministic re-extraction cannot confirm may not auto-send (it queues) — the doctrine "a request diverging from the deterministic re-extraction can never auto-send" must cover dims; today dims are price-inert under the cwt engine so the price is unaffected but the gate must hold before WP-09 density/class makes dims price-affecting,WP-07 exit audit (REQ-119),01§B,WP-07,A model parse carrying dims the deterministic parser did not extract queues as not_corroborated,WP07-DISCOVERED
REQ-176,AGENTS,A permanently-held Concierge reply (issued_send_pending on a non-retriable send) must SURFACE and must not be counted as answered: message.sent asserts an obligation-to-deliver not a completed delivery so the SLA sweep answered-check must not treat a held-but-never-sent reply as answered and an operator must see held replies (a delivery-failure signal or a held-reply queue); pairs with REQ-100,WP-07 exit audit (REQ-119),02§6,WP-11,A permanently-held reply is visible to an operator and is not silently counted answered by the SLA sweep,WP07-DISCOVERED
REQ-177,AGENTS,Concierge quote.requested should record the DETERMINISTIC corroborated request not the raw model request so a concurrent at-least-once redelivery whose non-deterministic LLM parse differs cannot plant a quote.requested payload inconsistent with the quote.priced and the sent reply (money and reply already stay deterministic-correct via corroboration; this closes the stored-request inconsistency); gated with the ClaudeParser CONFIRM,WP-07 exit audit (REQ-119),01§B,WP-07,Two concurrent deliveries of one email whose LLM parses differ record a quote.requested consistent with the priced/sent reply,WP07-DISCOVERED
REQ-178,AGENTS,Concierge redelivery fast-path re-render must be a pure function of committed events: pin the tenant from-name (and any rendered config input) into the message.sent payload so a from-name change across a redeploy cannot turn an already-delivered reply into a spurious permanent 409 hold on re-send; same class as the Biller REFERRAL_BASE re-render,WP-07 exit audit (REQ-119),02§4,WP-11,A CONCIERGE_FROM_NAME change between an original send and a redelivery does not produce a spurious send-pending hold,WP07-DISCOVERED
REQ-179,LEDGER,invoice.issued must redact the tenant GL account mapping (gl_map) and internal division from the counterparty lens: a bill-to party reading the shipment timeline must not see the tenant chart-of-accounts codes; extend redact.ts REDACTIONS to invoice.issued while keeping the customer-facing amount/lines/invoice_id,WP-07 exit audit (REQ-119),10§I6,WP-11,A counterparty-lens read of invoice.issued shows the invoice amount but not gl_map or division,WP07-DISCOVERED
REQ-180,LEDGER,Inherently-internal event kinds (call.transcribed credit.checked approval.requested approval.decided agent.acted authority.flipped) must never be WIDENED by tenant policy: resolveVisibility must clamp these to internal even if a control-plane policy names a wider visibility — a never-widen floor so a misconfigured policy cannot surface transcripts or credit checks to a counterparty,WP-07 exit audit (REQ-119),10§I6,WP-11,A tenant policy naming call.transcribed as counterparty still resolves it internal,WP07-DISCOVERED
REQ-181,BOOKING,booking.created must set the shipment's REAL consignee_party_id and bill_to_party_id (from the accepted-booking parties) — correcting the Concierge quote-stage self-reference where all three party FKs point at the requester (the WP-07 resolve ASSUMPTION this closes); the status-cache projection applies it on the existing shipments row (on CONFLICT) so the Biller bills the real payer and downstream division/party attribution is correct; the shipper stays the requester,WP-07 resolve assumption + WP-08 booking,10§1,WP-08,A Concierge quote-stage shipment whose three party FKs all point at the requester and is then booked with a different consignee/bill_to has those two FKs corrected on the shipments row while the shipper stays the requester,F0-SPEC'D
REQ-182,GATES,The booking gate must guarantee the delivery-evidence heartbeat email has a DELIVERABLE recipient by checking the party that email ACTUALLY goes to — the bill_to (WP-06 Biller resolveRecipient + acceptance demo #1 "invoice + photos in the client's inbox"); this reconciles REQ-047's original "consignee" wording which reflected GA-6's now-superseded assumption of a consignee-facing heartbeat; a booking passes only if the bill_to has a deliverable contact OR carries a named opt-out; the SHARED plausibleEmail predicate the Biller sends with is applied to the SAME party (bill_to) so a gate-passing booking always yields a resolvable evidence recipient; a distinct consignee-facing delivery notification (REQ-097 SMS) is separate future scope,WP-08 T6 review (REQ-119),01§4,WP-08,A booking whose bill_to (the evidence-email recipient) has no deliverable contact and no opt-out is blocked at booking and a gate-passing booking always resolves an evidence-email recipient,F0-SPEC'D
REQ-183,LEDGER,The credit-hold booking gate (REQ-042) is only as strong as the credit.checked to parties.credit_status projection: that UPDATE is a silent no-op if the bill_to party row does not yet exist so a credit.checked{hold} recorded BEFORE the party exists never lands and a later booking reads null and passes; guarantee party-before-credit-decision ordering or make the projection assert rows-affected non-zero (or upsert the party credit state) so a recorded hold always blocks the next booking,WP-08 T6 review (REQ-119),02§4,WP-11,A credit.checked{hold} recorded for a party that materializes later still blocks that party's next booking,WP08-DISCOVERED
REQ-184,BOOKING,Rate-confirmation (dispatch-doc) GENERATION flow: nothing currently writes a documents row of kind ratecon so the REQ-043 dispatch gate is FAIL-CLOSED (no dispatch without paperwork) until this lands — a booking/dispatch step or an operator action must produce the ratecon document for a booked shipment; T9's heartbeat and any real dispatch must seed/generate it to pass the gate; requiring the ratecon UNCONDITIONALLY is a recorded decision matching REQ-043's literal docs (no per-tenant policy knob — a knob defaulting to not-required would weaken REQ-043),WP-08 T7 review (REQ-119),01§4,vNEXT,A booked shipment gains a ratecon documents row via the generation flow and then dispatches without an override,vNEXT
REQ-185,GATES,credit.checked is a PRIVILEGED finance decision and must be authorized server-side at the write boundary: only a finance (or admin) role may emit credit.checked; a driver/ops/portal/read POST of credit.checked is 403 FORBIDDEN with nothing appended (segregation of duties — ops must not clear a finance hold); closes the REQ-119 exit-audit gate-bypass where any driver/ops could overwrite an arbitrary party's credit_status and defeat the REQ-042 credit-hold gate (a mis-bill — a held party books/ships on credit); enforces REQ-030 server-side parity for the credit decision,WP-08 exit audit (REQ-119),01§4,WP-08,A driver or ops POST of credit.checked returns 403 with nothing appended while a finance role places a hold that then blocks that party's booking,F0-SPEC'D
REQ-186,LEDGER,The append envelope pins shipment_id to the stream: the sequencer DERIVES shipment_id from the stream id (s:<shipmentId>) when building the stored event — the same authority that already sets stream_id — instead of trusting the client field; this proactively enforces the existing events CHECK (stream_id = 's:' || shipment_id) inside the DO so an omitted shipment_id no longer commits a phantom appointment.set that claims no slot (the REQ-028/052 exit-audit 0.1 finding) and a crossed shipment_id can no longer reach a projection as an unmapped 500; byte-safe — every seeded/fixture event already carries shipment_id === stream-slice so the derivation is a hash no-op; the derivation is s:-only and never stamps a q:/t:root stream,WP-08 exit audit (REQ-119),02§I3,WP-08,An appointment.set posted with no shipment_id (or a shipment_id naming a different shipment) applies to the stream's own shipment and claims its slot rather than committing a no-op or a 500,F0-SPEC'D
REQ-187,PORTAL,A status-link capability is minted LENS-SCOPED to the caller (POST /v1/shipments/:id/status-link resolves :id through the caller lens so a portal party may mint only for a shipment in its own scope; ops/admin unrestricted) and the public read GET /pub/status/:cap verifies an HS256 MAC under a domain-separated STATUS_SECRET whose claims carry the tenant and shipment id so neither is client-forgeable or enumerable; the read returns a projection-only body (status_cache milestone + latest position) and NEVER the event lens,Doc01§3C,WP-09,WP-09,A flipped/forged/expired cap returns a uniform 401 and a cross-party mint is denied,F0-SPEC'D
REQ-188,MAP,The anonymous status lens keeps the position CITY-COARSE (~11km generalizePosition) EVEN post-out-for-delivery — the cap URL is forwardable so it never unlocks exact geo the way the authenticated party lens does — and never emits assigned_driver or any party name (REQ-167); the public body is a positive .strict() allowlist so a new status_cache field fails closed (not emitted),07§02,WP-09,WP-09,A public status body for an out-for-delivery shipment carries a coarse position with no accuracy_m and no driver id,F0-SPEC'D
REQ-189,BOOKING,The public no-auth surface (/pub/*) resolves tenant ONLY from the CF-routed hostname via a static host→tenant allowlist that is a subset of the core tenant bindings (never a client Host header/param/claim) and the guest quote POST /pub/quote is a PURE pricing preview that appends ZERO events (no quote.priced/agent.acted/stream/DO) and returns a sell+transit allowlist excluding floors/basis/versions/approval/anomaly; per-tenant plus edge rate caps bound abuse,Doc01§3C,WP-09,WP-09,A guest quote writes no events; a forged Host 404s before any DB handle; the guest body carries no margin internals,F0-SPEC'D
REQ-190,GATES,POST /v1/positions enforces the SAME server-side gates as the sequencer stop.arrived consent path (REQ-166/030): a driver may stamp GPS ONLY for a shipment assigned to them AND only from a device registered to them AND only after a consent record exists (deriveOperatingState + assertConsentBeforeGps); the shared consent/assignment/device predicate is factored so the route and the DO cannot drift; closes the 2026-07-15 audit C-1 where the primary GPS channel bypassed consent/assignment/device and became a Merkle leaf,2026-07-15 audit C-1,01§4,WP-09,A driver POST /v1/positions for an unassigned shipment or an unregistered device or with no consent record is 403 with nothing inserted,F0-SPEC'D
REQ-191,GATES,booking.created is IDEMPOTENT PER STREAM: the sequencer gate (#enforceBooking) rejects a booking.created on a stream that already carries one (VALIDATION_FAILED shipment_already_booked) and the Booking agent skips cleanly when any booking.created already exists — closing the WP-09 exit-audit C-2 where an external portal party could force a DUPLICATE booking on an already-booked shipment via POST /v1/rate then accept-quote (a fresh quote.priced+quote.accepted whose new deterministic id evaded the agent id-dedupe) which polluted the append-only ledger and regressed a delivered shipment status_cache back to booked; the Concierge quote-stage path stays green because its shipments row carries no booking.created so the first real booking is still first,WP-09 exit audit (REQ-119),01§4,WP-09,A portal party rate then accept-quote on an already-booked shipment yields exactly one booking.created and no status regression,F0-SPEC'D
REQ-192,LEDGER,Counterparty redaction covers EVERY internal field on a counterparty-default kind: booking.created.division and dispatch.assigned.driver_user_id are stripped for non-tenant lenses (INTERNAL_NESTED) extending REQ-179 to the first counterparty read seam; a GENERAL fail-closed guard test asserts no known-internal field (division gl_map driver_user_id cost buy_rate) survives the party lens for ANY kind whose default visibility is counterparty so a new leak can never go live silently,WP-09 exit audit (REQ-119),02§I6,WP-09,A party-lens read of booking.created carries no division and of dispatch.assigned no driver_user_id while the tenant lens still sees both,F0-SPEC'D
REQ-193,PORTAL,The public /pub/* no-auth surface (status quote documents) requires a Cloudflare EDGE rate-limit rule (per-IP) plus optional Turnstile on /pub/quote before public GA; in-Worker rate limiting is deliberately NOT the control layer (it would burn Worker invocations on attack traffic and duplicate the platform control); recorded by the WP-09 exit audit as an infra/deploy prerequisite not a code gate,WP-09 exit audit (REQ-119),14§06,WP-09,A CF rate-limit rule on /pub/* is provisioned before the public surface is GA,F0-DEPLOY-NOTE
REQ-194,GATES,approval.decided is authorized against the approval matrix required_role: a dedicated POST /v1/shipments/:id/approval-decision route loads the pending approval.requested and appends approval.decided ONLY when the caller role satisfies its required_role (ops for a single/below-target approval; finance for a dual/below-contribution approval; admin always) — closing the WP-10 defect where the general events route (REQ-185 finance restriction) blocked a finance principal from emitting any non-credit.checked kind so a DUAL approval could never be recorded; the approvals read-model projects OPEN on approval.requested and DECIDED on approval.decided so the approvals queue can list open items and act on them,WP-10 Command,01§4,WP-10,A finance dual approval-decision returns 201 and flips the approvals row to decided while an ops attempt on a finance-required dual approval is 403,F0-SPEC'D
REQ-195,BOOKING,The CSR net-new intake write seam: POST /v1/parties (ops/admin finds or creates a party DETERMINISTICALLY and synchronously — no LLM unlike the Concierge email path) and POST /v1/shipments (ops/admin materializes a quote-stage shipments row with the shipper/consignee/bill_to party FKs) so a CSR can book a brand-new order from scratch (parties → shipment → /v1/rate → accept-quote → the Booking agent); the seam is UI-DECOUPLED so WP-13 MCP calls the same verbs and enforces the SAME server-side gates (REQ-030) — the booking still runs the credit + evidence-recipient gate with no bypass; tenant-scoped off the JWT only (REQ-025),WP-10 Command,01§3C,WP-10,A CSR net-new intake creates the party and shipment then books through the credit/evidence gates end-to-end while a cross-tenant or under-role intake is 403,F0-SPEC'D
REQ-196,BOOKING,The CSR intake (POST /v1/parties) and the Concierge email-inbound path MUST converge on party identity through ONE shared email-key matcher: a single normalizePartyEmail (trim + lowercase) and partyIdForEmail helper in @shuddl/contracts used by BOTH seams so a mixed-case email (Bob@Acme.com then bob@acme.com) resolves to the SAME party row instead of a duplicate (a split-billing / credit-hold-evasion risk downstream); a parity test asserts both paths derive the identical id and find each other rows (share-lint-matchers-with-parity-tests); closes the WP-10 exit-audit 0.1 non-convergence where the Concierge find was case-sensitive and the id domains differed,WP-10 exit audit (REQ-119),01§3C,WP-10,A CSR-created Bob@Acme.com party is FOUND (not duplicated) by a later Concierge inbound from bob@acme.com,F0-SPEC'D
REQ-197,LEDGER,The exceptions queue durable read orders by ts DESC (backed by ix_events_kind_ts) and paginates by a before_ts keyset so its bounded page retains the FRESHEST exception.raised/osd.captured events rather than a lexicographic-by-stream_id slice — closing the WP-10 exit-audit 5.1 where readEvents ORDER BY stream_id seq truncated at LIMIT 1000 BEFORE the JS ts-sort so an open exception past 1000 lifetime exception events could silently vanish from the queue (contradicting the never-lose-an-exception contract); the ledger stays intact (GET /v1/shipments/:id/events always surfaces the durable event) so this is a read-view completeness fix,WP-10 exit audit (REQ-119),02§I3,WP-10,With over 1000 lifetime exception events a fresh open exception still appears in GET /v1/exceptions and older pages are reachable by the before_ts cursor,F0-SPEC'D
REQ-198,LEDGER,The R2 retention RE-INSTATE (a re-upload of a retention-tombstoned document) restarts the retention clock from the RE-SUBMISSION time (a wall-clock now) NOT the original over-1yr-old capture-event recorded_at — closing the WP-11 exit-audit finding A where evidence.ts bound recording.recorded_at (already past its retention) so the next sweep tick re-deleted the freshly re-uploaded bytes and the uploader got a false 200; POD/pod-7yr evidence is sweep-excluded and never reaches this path so only a re-uploaded over-1yr-old default doc was affected (liveness not correctness/money/isolation),WP-11 exit audit (REQ-119),02§I3,WP-11,A re-uploaded tombstoned default doc keeps its bytes for a full retention window after re-submission and is not re-deleted on the next sweep,F0-SPEC'D
REQ-199,LEDGER,The Biller reconciliation re-drive anti-join (REQ-169) only re-enqueues a pod.signed stream that HAS a shipments row (a billable booking) — an orphan pod.signed on an un-booked/legacy-replayed stream (no shipments row where the Biller returns shipment_not_found) is excluded from the re-drive so it cannot re-enqueue every cron tick unbounded; the SHARED unbilled predicate is UNCHANGED so the Watchtower unbilled alarm still surfaces the data fault — closing the WP-11 exit-audit finding B; the re-drive stays bounded and idempotent,WP-11 exit audit (REQ-119),02§I3,WP-11,An orphan pod.signed with no shipments row is not re-enqueued by the recon sweep yet still fires the Watchtower unbilled alarm,F0-SPEC'D
